學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,3,0,1,0,2,00:00:19,084507_s00295
084507,15,1,14,0,40,05:21:40,084507_s00296
084507,5,0,2,0,0,00:00:00,084507_s00297
084507,21,0,19,0,16,01:05:44,084507_s00298
084507,5,0,2,0,1,00:03:33,084507_s00299
084507,3,0,0,0,1,00:04:39,084507_s00300
084507,4,0,0,0,0,00:00:00,084507_s00301
084507,26,0,15,0,0,00:00:00,084507_s00302
084507,4,0,1,0,3,00:02:42,084507_s00303
084507,4,0,5,0,7,00:25:08,084507_s00304
084507,8,0,0,0,5,00:08:10,084507_s00305
084507,16,0,0,0,11,02:18:08,084507_s00306
084507,3,0,1,0,1,00:00:17,084507_s00307
084507,6,0,3,0,4,00:05:58,084507_s00308
084507,4,0,6,0,1,00:00:00,084507_s00309
084507,4,0,0,0,11,00:13:21,084507_s00310
084507,6,0,0,0,14,00:42:22,084507_s00311
084507,3,0,0,0,9,02:32:42,084507_s00312
084507,7,0,1,0,4,00:30:24,084507_s00313
084507,7,0,0,0,6,00:14:43,084507_s00314
084507,4,0,0,0,2,00:00:10,084507_s00315
084507,4,0,2,0,1,00:06:58,084507_s00316
084507,3,0,0,0,6,00:25:30,084507_s00317
084507,3,0,0,0,0,00:00:00,084507_s00318
084507,4,0,0,0,2,00:36:23,084507_s00319
084507,3,0,0,0,1,00:01:18,084507_s00320
084507,3,0,0,0,1,00:49:06,084507_s00321
084507,3,0,2,0,2,00:09:15,084507_s00322
084507,6,0,3,0,3,00:02:14,084507_s00323
084507,3,0,0,0,0,00:00:00,084507_s00324
084507,1,0,0,0,0,00:00:00,084507_s00325
084507,1,0,0,0,0,00:00:00,084507_s00326
084507,1,0,0,0,0,00:00:00,084507_s00327
084507,1,0,0,0,0,00:00:00,084507_s00328
084507,1,0,0,0,0,00:00:00,084507_s00329
084507,1,0,0,0,0,00:00:00,084507_s00330
084507,1,0,0,0,0,00:00:00,084507_s00331
084507,1,0,0,0,0,00:00:00,084507_s00332
084507,1,0,0,0,0,00:00:00,084507_s00333
084507,1,0,0,0,0,00:00:00,084507_s00334
084507,1,0,0,0,0,00:00:00,084507_s00335
084507,1,0,0,0,0,00:00:00,084507_s00336
084507,1,0,0,0,0,00:00:00,084507_s00337
084507,1,0,0,0,0,00:00:00,084507_s00338
084507,1,0,0,0,0,00:00:00,084507_s00339
084507,1,0,0,0,0,00:00:00,084507_s00340
084507,1,0,0,0,0,00:00:00,084507_s00341
084507,1,0,0,0,0,00:00:00,084507_s00342
084507,1,0,0,0,0,00:00:00,084507_s00343
084507,1,0,0,0,0,00:00:00,084507_s00344
084507,1,0,0,0,0,00:00:00,084507_s00345
